key,value
30-08-2021,521
29-08-2021,282
08-06-2021,5
11-07-2021,54
05-05-2021,254
23-05-2021,12
09-06-2021,7
19-11-2021,23
06-09-2021,37
12-05-2021,50
25-05-2021,12
10-08-2021,47
08-11-2021,9
24-08-2021,98
23-08-2021,113
06-05-2021,146
22-08-2021,24
06-08-2021,303
28-10-2021,5
19-10-2021,10
04-05-2021,512
28-08-2021,258
08-08-2021,122
06-11-2021,4
30-05-2021,7
03-05-2021,299
02-09-2021,54
09-09-2021,10
14-06-2021,10
15-06-2021,10
04-10-2021,29
16-09-2021,31
08-07-2021,24
30-10-2021,11
04-06-2021,18
25-07-2021,4
15-11-2021,23
05-09-2021,44
07-05-2021,142
26-10-2021,30
17-08-2021,13
07-08-2021,186
05-08-2021,116
21-08-2021,23
26-06-2021,7
28-09-2021,18
26-07-2021,14
19-06-2021,2
09-05-2021,95
27-08-2021,76
04-08-2021,121
09-08-2021,74
05-10-2021,20
30-07-2021,11
27-06-2021,10
20-05-2021,8
01-08-2021,97
11-08-2021,40
30-09-2021,16
01-09-2021,105
30-06-2021,8
17-09-2021,15
31-07-2021,54
20-11-2021,12
15-08-2021,13
18-10-2021,7
02-10-2021,19
26-08-2021,53
31-08-2021,151
02-08-2021,28
17-10-2021,12
25-08-2021,63
17-11-2021,38
04-11-2021,15
03-09-2021,53
08-05-2021,88
29-09-2021,10
15-10-2021,15
13-05-2021,34
10-05-2021,69
14-07-2021,17
14-05-2021,34
05-07-2021,22
09-11-2021,12
14-10-2021,13
07-11-2021,7
14-08-2021,19
11-05-2021,62
13-06-2021,16
22-09-2021,12
12-09-2021,18
12-08-2021,16
03-08-2021,27
09-07-2021,45
29-06-2021,9
19-07-2021,16
10-06-2021,12
03-06-2021,7
21-06-2021,8
21-11-2021,10
01-07-2021,9
11-09-2021,9
24-10-2021,6
13-11-2021,20
03-07-2021,3
17-05-2021,10
07-07-2021,15
10-11-2021,12
24-07-2021,7
29-10-2021,43
12-10-2021,11
08-10-2021,15
16-08-2021,16
16-07-2021,12
27-07-2021,2
02-11-2021,13
04-09-2021,29
12-07-2021,35
07-09-2021,17
17-07-2021,12
07-10-2021,18
16-11-2021,15
15-07-2021,12
09-10-2021,16
24-05-2021,15
22-07-2021,4
24-06-2021,8
02-06-2021,15
15-05-2021,26
19-08-2021,12
29-05-2021,4
01-06-2021,15
21-10-2021,12
20-06-2021,4
13-08-2021,26
13-09-2021,12
10-07-2021,42
27-10-2021,7
19-09-2021,10
11-10-2021,13
20-08-2021,20
31-05-2021,17
18-07-2021,7
03-11-2021,12
01-11-2021,15
02-07-2021,12
03-10-2021,10
15-09-2021,19
16-05-2021,17
10-10-2021,11
18-09-2021,20
06-10-2021,9
23-07-2021,4
14-11-2021,8
26-05-2021,8
18-05-2021,12
13-10-2021,8
21-09-2021,8
17-06-2021,4
20-07-2021,11
21-07-2021,13
22-11-2021,11
14-09-2021,7
08-09-2021,24
22-10-2021,7
18-08-2021,4
07-06-2021,10
18-06-2021,6
23-09-2021,9
28-06-2021,11
23-10-2021,9
25-10-2021,8
19-05-2021,5
18-11-2021,22
24-09-2021,11
04-07-2021,21
11-06-2021,6
27-09-2021,6
13-07-2021,16
29-07-2021,6
25-09-2021,8
12-11-2021,5
20-10-2021,15
27-05-2021,6
28-05-2021,14
22-06-2021,11
06-06-2021,12
20-09-2021,4
05-11-2021,6
05-06-2021,17
31-10-2021,16
01-10-2021,13
16-06-2021,10
06-07-2021,12
28-07-2021,2
10-09-2021,11
26-09-2021,6
23-06-2021,7
22-05-2021,6
21-05-2021,7
16-10-2021,5
11-11-2021,12
24-11-2021,5
23-11-2021,7
25-06-2021,1
12-06-2021,7
