key,value
30-08-2021,602
29-08-2021,366
08-06-2021,22
11-07-2021,172
05-05-2021,418
23-05-2021,38
09-06-2021,22
19-11-2021,27
06-09-2021,46
05-09-2021,62
07-08-2021,318
12-05-2021,90
03-05-2021,702
25-05-2021,31
10-08-2021,90
04-05-2021,935
07-07-2021,41
08-11-2021,18
10-09-2021,26
24-08-2021,169
24-06-2021,25
21-05-2021,29
09-05-2021,176
16-11-2021,31
23-08-2021,274
06-05-2021,273
22-08-2021,58
06-08-2021,600
28-10-2021,9
25-10-2021,15
19-10-2021,20
11-10-2021,17
04-08-2021,256
30-10-2021,18
13-06-2021,37
30-05-2021,26
28-05-2021,47
28-08-2021,396
08-08-2021,232
06-11-2021,8
18-09-2021,30
14-05-2021,72
02-09-2021,82
09-09-2021,28
14-06-2021,25
05-06-2021,31
15-06-2021,27
04-10-2021,50
16-09-2021,42
08-07-2021,63
04-06-2021,33
19-08-2021,41
26-05-2021,17
16-08-2021,39
02-06-2021,31
10-07-2021,117
25-07-2021,18
20-07-2021,47
15-11-2021,31
13-11-2021,28
07-05-2021,274
14-08-2021,37
26-10-2021,38
22-10-2021,13
17-08-2021,36
01-08-2021,223
27-06-2021,33
05-08-2021,285
19-07-2021,64
21-08-2021,44
15-05-2021,45
26-06-2021,37
28-09-2021,28
26-07-2021,43
30-06-2021,39
29-06-2021,38
19-06-2021,9
27-08-2021,112
18-05-2021,35
09-10-2021,27
07-10-2021,31
09-08-2021,136
13-05-2021,71
05-10-2021,26
24-09-2021,34
23-09-2021,27
13-07-2021,61
18-06-2021,26
01-06-2021,49
30-07-2021,32
04-11-2021,16
20-05-2021,25
14-07-2021,42
11-08-2021,82
30-09-2021,27
01-09-2021,129
17-09-2021,20
13-09-2021,20
31-07-2021,174
23-06-2021,17
03-06-2021,37
04-07-2021,52
20-11-2021,19
15-08-2021,53
31-05-2021,40
18-10-2021,16
02-10-2021,31
26-08-2021,106
31-08-2021,161
03-08-2021,100
02-08-2021,90
17-10-2021,18
13-08-2021,56
03-07-2021,22
25-08-2021,93
06-06-2021,32
10-05-2021,124
17-11-2021,49
31-10-2021,21
10-10-2021,19
22-09-2021,34
03-09-2021,68
23-07-2021,14
12-06-2021,26
08-05-2021,174
29-09-2021,18
27-09-2021,18
12-07-2021,114
15-10-2021,19
12-10-2021,18
05-07-2021,84
09-11-2021,16
05-11-2021,11
14-10-2021,20
16-10-2021,10
07-11-2021,14
28-07-2021,12
11-05-2021,83
06-07-2021,52
24-05-2021,35
22-11-2021,21
12-09-2021,29
12-08-2021,31
08-09-2021,32
09-07-2021,101
28-06-2021,42
20-08-2021,39
10-06-2021,22
21-06-2021,19
21-11-2021,12
01-07-2021,32
11-09-2021,18
24-10-2021,10
01-10-2021,20
17-05-2021,27
10-11-2021,18
24-07-2021,22
29-10-2021,52
08-10-2021,22
25-06-2021,21
16-06-2021,37
16-07-2021,48
27-07-2021,20
02-11-2021,24
04-09-2021,39
07-09-2021,27
17-07-2021,30
18-07-2021,27
15-07-2021,30
02-07-2021,32
22-07-2021,29
29-05-2021,20
21-10-2021,19
29-07-2021,12
20-06-2021,24
27-10-2021,14
14-11-2021,12
19-09-2021,16
03-11-2021,16
11-06-2021,14
18-08-2021,30
01-11-2021,19
22-06-2021,21
03-10-2021,17
15-09-2021,27
16-05-2021,29
13-10-2021,13
14-09-2021,14
06-10-2021,17
27-05-2021,17
07-06-2021,32
17-06-2021,17
21-09-2021,27
21-07-2021,37
26-09-2021,22
18-11-2021,29
23-10-2021,19
19-05-2021,17
11-11-2021,17
25-09-2021,17
12-11-2021,11
20-10-2021,20
22-05-2021,19
20-09-2021,11
24-11-2021,11
23-11-2021,11
